STT,Test Case ID,Test Scenario,Preconditions,Test Steps,Test Data,Expected Result,Actual Result,Status,Defect ID
1,TC_REG_01,Đăng ký thành công với dữ liệu hợp lệ,Database hoạt động,1. Mở trang Đăng ký 2. Nhập thông tin 3. Chọn Vai trò 4. Nhấn Đăng ký,Name: Nguyen Van A | Email: test1@gmail.com | Phone: 0123456789 | Role: Độc giả | Pass: 123456 | Confirm: 123456,Form submit thành công và chuyển hướng trang Login.,Chuyển hướng thành công sang trang đăng nhập,PASS,
2,TC_REG_02,Test biên giới hạn dưới Họ và tên (4 ký tự),,1. Mở trang Đăng ký 2. Nhập thông tin 3. Nhấn Đăng ký,Name: Nguy | (Các trường khác hợp lệ),Hiển thị lỗi: Họ tên phải từ 5-50 ký tự.,Hiển thị lỗi chính xác và chặn submit,PASS,
3,TC_REG_03,Lỗi độ dài số điện thoại (< 10 số),,1. Mở trang Đăng ký 2. Nhập thông tin 3. Nhấn Đăng ký,Phone: 012345678 | (Các trường khác hợp lệ),Hiển thị lỗi: Số điện thoại phải đủ 10 số.,Hiển thị lỗi chính xác và chặn submit,PASS,
4,TC_REG_04,Vi phạm BR (Xác nhận mật khẩu sai),,1. Mở trang Đăng ký 2. Nhập thông tin 3. Nhấn Đăng ký,Pass: 123456 | Confirm: 1234567,Hiển thị lỗi: Mật khẩu xác nhận không khớp.,Form không báo lỗi mà chuyển sang trang báo lỗi Server 500,FAIL,BUG_REG_01
5,TC_BOK_01,Thêm sách mới thành công,Đăng nhập quyền Admin,1. Vào trang Thêm Sách 2. Nhập thông tin 3. Nhấn Lưu,Tên: Sách KTPM | Giá: 150000 | Ngày XB: 01/01/2023 | Thể loại: CNTT,Sách được thêm vào danh sách thành công.,Sách được hiển thị chính xác trên danh sách,PASS,
6,TC_BOK_02,Test biên giới hạn dưới Giá tiền (9999 VNĐ),Đăng nhập quyền Admin,1. Vào trang Thêm Sách 2. Nhập Giá tiền 3. Nhấn Lưu,Giá: 9999 | (Các trường khác hợp lệ),Lỗi: Giá tiền phải từ 10000 VNĐ trở lên.,Hệ thống bỏ qua validate và lưu sách với giá 9999 VNĐ,FAIL,BUG_BOK_01
7,TC_BOK_03,Lỗi Ngày xuất bản ở tương lai,Đăng nhập quyền Admin,1. Vào trang Thêm Sách 2. Nhập Ngày XB 3. Nhấn Lưu,Ngày XB: 01/01/2099,Lỗi: Ngày xuất bản không được lớn hơn ngày hiện tại.,Báo lỗi chính xác,PASS,
8,TC_RDR_01,Tạo thẻ độc giả hợp lệ,Đăng nhập quyền Admin,1. Mở trang Tạo thẻ 2. Nhập thông tin 3. Nhấn Lưu,CCCD: 001234567890 | Tiền cọc: 100000 | Hết hạn: [Ngày mai],Thông báo Tạo thẻ độc giả thành công.,Thêm độc giả thành công,PASS,
9,TC_RDR_02,Tiền cọc vượt quá giới hạn tối đa,Đăng nhập quyền Admin,1. Mở trang Tạo thẻ 2. Nhập số tiền 3. Nhấn Lưu,Tiền cọc: 10000001,Lỗi: Số tiền cọc không vượt quá 10.000.000 VNĐ,Báo lỗi chính xác,PASS,
10,TC_PRO_01,Cập nhật hồ sơ thành công,Đã đăng nhập Reader,1. Vào trang Profile 2. Nhập dữ liệu 3. Nhấn Cập nhật,Địa chỉ: 123 Đường A TPHCM | Ngày sinh: 01/01/2000 | Giới tính: Nam,Thông báo Cập nhật thành công.,Cập nhật thành công và load lại trang,PASS,
11,TC_PRO_02,Lỗi chưa đủ 15 tuổi,Đã đăng nhập Reader,1. Vào trang Profile 2. Sửa Ngày sinh 3. Nhấn Cập nhật,Ngày sinh: 01/01/2015,Lỗi: Bạn phải đủ 15 tuổi.,Báo lỗi chính xác,PASS,
12,TC_BRW_01,Gửi yêu cầu mượn thành công,Không nợ sách,1. Vào Yêu cầu mượn 2. Chọn ngày 3. Nhập SL 4. Nhấn Gửi,Start: [Hôm nay] | Return: [Hôm nay + 3 ngày] | Quantity: 2,Chuyển hướng trang Trạng thái.,Chuyển trang thành công,PASS,
13,TC_BRW_02,Lỗi số lượng mượn vượt giới hạn (> 5),Không nợ sách,1. Vào Yêu cầu mượn 2. Nhập số lượng 3. Nhấn Gửi,Quantity: 6,Form báo lỗi: Chỉ được mượn tối đa 5 quyển.,Báo lỗi chính xác,PASS,
14,TC_BRW_03,Lỗi ngày trả cách ngày mượn quá 5 ngày,Không nợ sách,1. Vào Yêu cầu mượn 2. Chọn ngày 3. Nhấn Gửi,Start: [Hôm nay] | Return: [Hôm nay + 6 ngày],Lỗi: Thời gian mượn không vượt quá 5 ngày.,Hệ thống bị crash và hiện trang lỗi NullPointerException,FAIL,BUG_BRW_01
