Function Code,Type of test cases,Condition (Precondition),Condition (Values of inputs),Confirmation (Expected result),Test case result (OK/NG)
TC_REG_01,Normal,Trạng thái chưa đăng nhập. Database hoạt động bình thường,Họ tên: Nguyen Van A; Email: test1@gmail.com; SĐT: 0123456789; Vai trò: Độc giả; Pass: 123456; Confirm: 123456,Chuyển hướng thành công sang trang Đăng nhập.,OK
TC_REG_02,Boundary,Trạng thái chưa đăng nhập,Họ tên: Nguy (4 ký tự); Các trường khác hợp lệ,Hiển thị lỗi: Họ tên phải từ 5-50 ký tự.,OK
TC_REG_03,Abnormal,Trạng thái chưa đăng nhập,SĐT: 012345678 (9 số); Các trường khác hợp lệ,Hiển thị lỗi: Số điện thoại phải đủ 10 số.,OK
TC_REG_04,Abnormal,Trạng thái chưa đăng nhập,Pass: 123456; Confirm: 1234567,Hiển thị thông báo lỗi: Mật khẩu xác nhận không khớp.,NG
TC_BOK_01,Normal,Tài khoản Admin đã đăng nhập,Tên: Sách KTPM; Giá: 150000; Ngày XB: 01/01/2023; Thể loại: CNTT,Hệ thống hiển thị Sách mới trên danh sách quản lý.,OK
TC_BOK_02,Boundary,Tài khoản Admin đã đăng nhập,Giá: 9999; Các trường khác hợp lệ,Báo lỗi: Giá tiền phải từ 10000 VNĐ trở lên.,NG
TC_BOK_03,Abnormal,Tài khoản Admin đã đăng nhập,Ngày XB: 01/01/2099 (Ngày tương lai),Báo lỗi: Ngày xuất bản không được lớn hơn ngày hiện tại.,OK
TC_RDR_01,Normal,Tài khoản Admin đã đăng nhập,CCCD: 001234567890; Tiền cọc: 100000; Hết hạn: Ngày mai; Loại: VIP,Thông báo tạo thẻ độc giả thành công.,OK
TC_RDR_02,Boundary,Tài khoản Admin đã đăng nhập,Tiền cọc: 10000001 (Vượt tối đa),Báo lỗi: Số tiền cọc không vượt quá 10.000.000 VNĐ.,OK
TC_PRO_01,Normal,Reader đã đăng nhập,Địa chỉ: 123 Đường A; Ngày sinh: 01/01/2000; Giới tính: Nam,Hồ sơ được lưu thành công.,OK
TC_PRO_02,Abnormal,Reader đã đăng nhập,Ngày sinh: 01/01/2015 (Mới 11 tuổi),Báo lỗi: Bạn phải đủ 15 tuổi.,OK
TC_BRW_01,Normal,Reader không nợ sách,Start: Hôm nay; Return: Hôm nay + 3 ngày; Số lượng: 2,Chuyển hướng trang Trạng thái mượn thành công.,OK
TC_BRW_02,Boundary,Reader không nợ sách,Số lượng: 6 (Quá 5),Báo lỗi: Chỉ được mượn tối đa 5 quyển.,OK
TC_BRW_03,Boundary,Reader không nợ sách,Return: Hôm nay + 6 ngày,Báo lỗi: Thời gian mượn không vượt quá 5 ngày.,NG
